Stand_ID,Lat,Lon,Category
231,37.46486111111111,126.43159166666668,Apron 3
232,37.464063888888894,126.43197500000001,Apron 3
233,37.46335277777778,126.43234166666667,Apron 3
234,37.46256944444445,126.43268055555556,Apron 3
235,37.46206388888889,126.43289722222222,Apron 3
236,37.46156388888889,126.43315,Apron 3
237,37.46165277777778,126.43346944444446,Apron 3
238,37.46165277777778,126.43400277777778,Apron 3
239,37.461825000000005,126.434375,Apron 3
240,37.46217777777778,126.43441944444444,Apron 3
241,37.46253055555556,126.43460277777778,Apron 3
242,37.46291111111111,126.43428055555556,Apron 3
243,37.46342222222223,126.43404166666667,Apron 3
245,37.463594444444446,126.43354444444445,Apron 3
246,37.46429166666667,126.43311666666668,Apron 3
247,37.46527777777778,126.43325833333334,Apron 3
248,37.46590555555556,126.43395555555556,Apron 3
249,37.466319444444444,126.4347,Apron 3
250,37.46641944444445,126.43542222222223,Apron 3
251,37.46707777777778,126.43604722222223,Apron 3
252,37.467505555555555,126.43678611111112,Apron 3
253,37.467819444444444,126.43773055555556,Apron 3
254,37.46760833333334,126.43896388888889,Apron 3
255,37.466794444444446,126.43994444444445,Apron 3
256,37.466275,126.44027777777778,Apron 3
257,37.465922222222225,126.44061388888889,Apron 3
258,37.465719444444446,126.44108611111112,Apron 3
259,37.46596388888889,126.44128611111111,Apron 3
260,37.46619722222223,126.44175277777778,Apron 3
261,37.46645277777778,126.44204722222223,Apron 3
262,37.466705555555556,126.44185,Apron 3
263,37.46708888888889,126.44166111111112,Apron 3
264,37.46739166666667,126.44110833333333,Apron 3
265,37.46791944444445,126.44031111111111,Apron 3
266,37.46840277777778,126.43961388888889,Apron 3
267,37.46898055555556,126.4388388888889,Apron 3
268,37.46958333333333,126.43810277777779,Apron 3
321,37.464308333333335,126.44470277777778,Apron 3
322,37.46383055555556,126.44426666666666,Apron 3
323,37.46345277777778,126.44359722222222,Apron 3
324,37.463075,126.44292777777778,Apron 3
325,37.462697222222225,126.44226111111111,Apron 3
326,37.46231944444445,126.44159166666667,Apron 3
327,37.46194166666667,126.44092222222223,Apron 3
328,37.46178888888889,126.44024444444445,Apron 3
329,37.46141388888889,126.4229138888889,Apron 3
330,37.46096111111111,126.43918888888889,Apron 3
331,37.46058333333334,126.43852222222223,Apron 3
332,37.46020555555556,126.43785277777778,Apron 3
333,37.45982777777778,126.43718333333334,Apron 3
334,37.459450000000004,126.43651666666668,Apron 3
335,37.459072222222225,126.43584722222222,Apron 3
336,37.45890277777778,126.43513888888889,Apron 3
341,37.471558333333334,126.44002777777779,Apron 3
342,37.47216388888889,126.43949444444445,Apron 3
343,37.47271388888889,126.43900555555555,Apron 3
344,37.47324722222223,126.43853055555556,Apron 3
345,37.47373888888889,126.43809444444445,Apron 3
346,37.474125,126.43773333333334,Apron 3
347,37.474425000000004,126.4374638888889,Apron 3
351,37.46478611111112,126.42805555555556,Apron 3
352,37.465386111111115,126.42751944444444,Apron 3
353,37.46593611111111,126.42703055555556,Apron 3
354,37.46646944444445,126.42655555555557,Apron 3
355,37.46696111111111,126.42611666666667,Apron 3
356,37.467352777777776,126.42576666666668,Apron 3
357,37.46765277777778,126.4255,Apron 3
601,37.46329166666667,126.46376388888889,Cargo Apron 1
602,37.46366944444445,126.46443055555555,Cargo Apron 1
603,37.46404722222223,126.46510277777779,Cargo Apron 1
604,37.62416666666667,126.46595555555555,Cargo Apron 1
605,37.46490555555556,126.46662222222223,Cargo Apron 1
606,37.46528333333334,126.46729166666667,Cargo Apron 1
607,37.46576666666667,126.46814444444445,Cargo Apron 1
608,37.466144444444446,126.46881388888889,Cargo Apron 1
609,37.466522222222224,126.46948333333333,Cargo Apron 1
610,37.46700277777778,126.47033611111111,Cargo Apron 1
611,37.46738055555556,126.47100277777778,Cargo Apron 1
612,37.467758333333336,126.47167222222222,Cargo Apron 1
613,37.46815,126.47232777777778,Cargo Apron 1
614,37.46852777777778,126.47299722222222,Cargo Apron 1
615,37.46890555555556,126.4736638888889,Cargo Apron 1
616,37.46928333333334,126.47433333333333,Cargo Apron 1
621,37.46558055555556,126.46173055555556,Cargo Apron 1
622,37.46595555555556,126.4624,Cargo Apron 1
623,37.46633333333334,126.46306944444444,Cargo Apron 1
624,37.46681388888889,126.46392222222222,Cargo Apron 1
625,37.46719166666667,126.46459166666666,Cargo Apron 1
626,37.46756944444444,126.46525833333334,Cargo Apron 1
627,37.46805277777778,126.46611111111112,Cargo Apron 1
628,37.46843055555556,126.46678055555556,Cargo Apron 1
629,37.468808333333335,126.46745,Cargo Apron 1
630,37.46928888888889,126.46830277777778,Cargo Apron 1
631,37.46966666666667,126.46897222222222,Cargo Apron 1
